2024-06-09 14:35:11,104.hm_producer.INFO ==================================================
2024-06-09 14:35:11,104.hm_producer.INFO Today is 2024-06-09 at 02:35 PM
2024-06-09 14:35:11,106.hm_producer.INFO Running on: nt Windows 10
2024-06-09 14:35:11,107.hm_producer.INFO Python version:  3.10.9
2024-06-09 14:35:11,108.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-09 14:35:11,109.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 14:35:11,110.hm_producer.INFO ==================================================
2024-06-09 14:35:15,599.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:57:15', 153.4)
2024-06-09 14:35:15,647.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:58:10', 154.5)
2024-06-09 14:35:15,671.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:58:15', 154.5)
2024-06-09 14:35:15,695.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:59:10', 155.6)
2024-06-09 14:35:15,720.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:59:15', 155.6)
2024-06-09 14:35:15,746.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:00:10', 156.5)
2024-06-09 14:35:15,776.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:00:15', 156.5)
2024-06-09 14:35:15,802.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:01:10', 157.8)
2024-06-09 14:35:15,827.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:01:15', 157.8)
2024-06-09 14:35:15,854.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:02:10', 158.8)
2024-06-09 14:35:15,884.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:02:15', 158.8)
2024-06-09 14:35:15,916.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:03:10', 159.9)
2024-06-09 14:35:15,945.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:03:15', 159.9)
2024-06-09 14:35:15,975.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:04:10', 160.7)
2024-06-09 14:35:16,009.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:04:15', 160.7)
2024-06-09 14:35:16,045.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:05:10', 161.9)
2024-06-09 14:35:16,081.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:05:15', 161.9)
2024-06-09 14:35:16,223.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:06:10', 163.1)
2024-06-09 14:35:16,248.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:06:15', 163.1)
2024-06-09 14:35:16,271.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:07:10', 164.3)
2024-06-09 14:35:16,410.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:07:15', 164.3)
2024-06-09 14:35:16,434.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:08:10', 165.6)
2024-06-09 14:35:16,460.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:08:15', 165.6)
2024-06-09 14:35:16,485.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:09:10', 166.7)
2024-06-09 14:35:16,511.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:09:15', 166.7)
2024-06-09 14:35:16,536.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:10:10', 167.8)
2024-06-09 14:35:16,565.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:10:15', 167.8)
2024-06-09 14:35:16,596.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:11:10', 168.8)
2024-06-09 14:35:16,637.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:11:15', 168.8)
2024-06-09 14:35:16,670.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:12:10', 170.2)
2024-06-09 14:35:16,704.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:12:15', 170.2)
2024-06-09 14:35:16,737.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:13:10', 171.7)
2024-06-09 14:35:16,770.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:13:15', 171.7)
2024-06-09 14:35:16,819.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:14:10', 173.3)
2024-06-09 14:35:16,842.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:14:15', 173.3)
2024-06-09 14:35:16,867.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:15:10', 174.6)
2024-06-09 14:35:16,893.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:15:15', 174.6)
2024-06-09 14:35:16,918.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:16:10', 175.5)
2024-06-09 14:35:16,944.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:16:15', 175.5)
2024-06-09 14:35:16,970.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:17:10', 176.8)
2024-06-09 14:35:16,998.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:17:15', 176.8)
2024-06-09 14:35:17,027.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:18:10', 177.8)
2024-06-09 14:35:17,056.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:18:15', 177.8)
2024-06-09 14:35:17,090.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:19:10', 178.9)
2024-06-09 14:35:17,124.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:19:15', 178.9)
2024-06-09 14:35:17,158.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:20:10', 180.3)
2024-06-09 14:35:17,190.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:20:15', 180.3)
2024-06-09 14:35:17,240.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:21:10', 181.4)
2024-06-09 14:35:17,264.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:21:15', 181.4)
2024-06-09 14:35:17,285.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:22:10', 182.6)
2024-06-09 14:35:17,307.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:22:15', 182.6)
2024-06-09 14:35:17,329.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:23:10', 183.9)
2024-06-09 14:35:17,353.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:23:15', 183.9)
2024-06-09 14:35:17,379.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:24:10', 184.8)
2024-06-09 14:35:17,405.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:24:15', 184.8)
2024-06-09 14:35:17,430.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:25:10', 186.0)
2024-06-09 14:35:17,456.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:25:15', 186.0)
2024-06-09 14:35:17,486.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:26:10', 187.1)
2024-06-09 14:35:17,514.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:26:15', 187.1)
2024-06-09 14:35:17,543.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:27:10', 211.9)
2024-06-09 14:35:17,578.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:27:15', 211.9)
2024-06-09 14:35:17,616.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:28:10', 215.3)
2024-06-09 14:35:17,649.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:28:15', 215.3)
2024-06-09 14:35:17,684.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:29:10', 217.0)
2024-06-09 14:35:17,738.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:29:15', 217.0)
2024-06-09 14:35:17,761.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:30:10', 218.6)
2024-06-09 14:35:17,783.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:30:15', 218.6)
2024-06-09 14:35:17,805.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:31:10', 218.5)
2024-06-09 14:35:17,826.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:31:15', 218.5)
2024-06-09 14:35:17,850.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:32:10', 219.4)
2024-06-09 14:35:17,875.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:32:15', 219.4)
2024-06-09 14:35:17,899.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:33:10', 220.5)
2024-06-09 14:35:17,925.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:33:15', 220.5)
2024-06-09 14:35:17,954.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:34:10', 220.7)
2024-06-09 14:35:17,982.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:34:15', 220.7)
2024-06-09 14:35:18,015.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:35:10', 222.5)
2024-06-09 14:35:18,043.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:35:15', 222.5)
2024-06-09 14:35:18,073.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:36:10', 223.0)
2024-06-09 14:35:18,109.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:36:15', 223.0)
